Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - SALIA,1985,2010,38,67,Germany,1.42E-01,7.49E-02,4.62E-02,1.81E-02,7.95E-03,5.79E-03,4.71E-03,1.13E-01,6.46E-02,3.57E-02,1.71E-02,4.02E-03,3.94E-03,1.03E-03
ESCAPE - KORA,1997,2007,51,55,Germany,1.35E-01,6.92E-02,4.23E-02,1.57E-02,7.25E-03,5.96E-03,4.62E-03,1.11E-01,6.16E-02,3.38E-02,1.52E-02,4.20E-03,4.14E-03,1.13E-03
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,1.26E-01,6.64E-02,3.28E-02,2.63E-02,5.74E-03,4.71E-03,6.23E-03,1.11E-01,6.67E-02,2.84E-02,2.94E-02,5.07E-03,3.62E-03,1.23E-03
Rome,2001,2010,50,55,Italy,1.17E-01,5.24E-02,2.45E-02,1.62E-02,8.63E-03,3.41E-03,5.66E-03,9.18E-02,4.62E-02,1.89E-02,1.52E-02,3.37E-03,2.43E-03,1.16E-03
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,1.23E-01,5.70E-02,2.64E-02,1.81E-02,8.76E-03,3.52E-03,5.49E-03,9.54E-02,5.00E-02,2.03E-02,1.67E-02,3.22E-03,2.48E-03,1.08E-03
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,1.22E-01,5.61E-02,2.61E-02,1.77E-02,8.76E-03,3.51E-03,5.55E-03,9.49E-02,4.93E-02,2.01E-02,1.64E-02,3.27E-03,2.47E-03,1.10E-03
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,1.22E-01,5.61E-02,2.61E-02,1.77E-02,8.76E-03,3.51E-03,5.55E-03,9.49E-02,4.93E-02,2.01E-02,1.64E-02,3.27E-03,2.47E-03,1.10E-03
DUELS,2004,2011,52,63,Netherlands,1.23E-01,4.37E-02,2.21E-02,1.08E-02,1.13E-02,1.01E-02,6.98E-03,9.88E-02,3.78E-02,1.55E-02,1.18E-02,5.70E-03,7.72E-03,1.66E-03
Dutch,1987,1996,51,66,Netherlands,1.50E-01,6.38E-02,3.60E-02,1.66E-02,1.36E-02,9.40E-03,8.40E-03,1.09E-01,4.95E-02,2.34E-02,1.59E-02,4.18E-03,6.96E-03,8.72E-04
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,1.37E-01,5.31E-02,2.82E-02,1.37E-02,1.29E-02,1.07E-02,7.59E-03,1.06E-01,4.39E-02,1.92E-02,1.43E-02,5.30E-03,8.24E-03,1.33E-03
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,1.37E-01,5.31E-02,2.82E-02,1.37E-02,1.29E-02,1.07E-02,7.59E-03,1.06E-01,4.39E-02,1.92E-02,1.43E-02,5.30E-03,8.24E-03,1.33E-03
ESCAPE - HUBRO,2000,2010,56,53,Norway,1.26E-01,5.50E-02,3.18E-02,1.39E-02,7.63E-03,1.03E-02,3.74E-03,1.00E-01,4.64E-02,2.32E-02,1.40E-02,4.37E-03,8.28E-03,1.30E-03
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,1.24E-01,6.27E-02,3.82E-02,1.38E-02,5.15E-03,6.78E-03,2.71E-03,1.02E-01,5.36E-02,2.90E-02,1.48E-02,3.73E-03,5.03E-03,1.32E-03
ESCAPE - SALT,2000,2010,56,63,Sweden,1.25E-01,6.32E-02,3.87E-02,1.39E-02,5.15E-03,6.90E-03,2.71E-03,1.03E-01,5.40E-02,2.93E-02,1.50E-02,3.67E-03,5.12E-03,1.30E-03
ESCAPE - Sixty,1997,2010,52,67,Sweden,1.27E-01,6.50E-02,4.01E-02,1.43E-02,5.12E-03,7.32E-03,2.70E-03,1.03E-01,5.47E-02,2.99E-02,1.52E-02,3.47E-03,5.39E-03,1.25E-03
ESCAPE - SDPP,2004,2010,62,50,Sweden,1.22E-01,6.12E-02,3.70E-02,1.33E-02,5.15E-03,6.51E-03,2.73E-03,1.02E-01,5.26E-02,2.83E-02,1.44E-02,3.90E-03,4.83E-03,1.38E-03
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,1.22E-01,5.68E-02,3.37E-02,1.29E-02,6.87E-03,5.83E-03,4.10E-03,9.82E-02,4.90E-02,2.60E-02,1.24E-02,3.07E-03,4.61E-03,9.52E-04
Taipei,1989,2008,43,51,Taiwan,1.20E-01,4.81E-02,2.22E-02,1.80E-02,6.31E-03,1.01E-02,4.35E-03,1.06E-01,4.69E-02,1.96E-02,1.91E-02,2.68E-03,8.42E-03,1.88E-03
AARD,2000,2009,41,71,USA,1.16E-01,4.86E-02,3.16E-02,9.28E-03,7.76E-03,5.85E-03,5.73E-03,9.91E-02,4.40E-02,2.65E-02,1.02E-02,4.58E-03,4.70E-03,2.81E-03
NHIS,1986,2001,44,51,USA,1.30E-01,6.08E-02,4.16E-02,1.12E-02,7.56E-03,7.88E-03,5.92E-03,1.01E-01,5.07E-02,3.25E-02,1.13E-02,3.03E-03,5.54E-03,2.10E-03
ACS,1982,2004,56,66,USA,1.29E-01,6.01E-02,4.11E-02,1.10E-02,7.54E-03,7.73E-03,5.88E-03,1.01E-01,5.03E-02,3.22E-02,1.12E-02,3.09E-03,5.45E-03,2.13E-03
NHS,2000,2006,100,64,USA,1.20E-01,5.10E-02,3.34E-02,9.83E-03,7.90E-03,6.17E-03,5.85E-03,1.01E-01,4.60E-02,2.80E-02,1.07E-02,4.51E-03,4.93E-03,2.78E-03
CTS,2000,2005,100,53,USA,1.21E-01,5.19E-02,3.41E-02,1.00E-02,7.95E-03,6.29E-03,5.89E-03,1.02E-01,4.67E-02,2.85E-02,1.09E-02,4.48E-03,5.02E-03,2.76E-03
SCS,1979,2009,55,63,USA,1.26E-01,5.79E-02,3.94E-02,1.06E-02,7.50E-03,7.39E-03,5.81E-03,9.97E-02,4.89E-02,3.11E-02,1.09E-02,3.27E-03,5.27E-03,2.21E-03
MHP,1988,2002,0,64,USA,1.29E-01,5.99E-02,4.08E-02,1.11E-02,7.65E-03,7.73E-03,5.94E-03,1.01E-01,5.04E-02,3.21E-02,1.13E-02,3.23E-03,5.52E-03,2.20E-03
AHS,1993,2009,38,54,USA,1.22E-01,5.31E-02,3.52E-02,1.00E-02,7.77E-03,6.66E-03,5.85E-03,1.00E-01,4.66E-02,2.87E-02,1.07E-02,4.09E-03,5.09E-03,2.59E-03
AHSMOG,1977,1992,65,70,USA,1.31E-01,6.38E-02,4.46E-02,1.14E-02,7.16E-03,8.28E-03,5.76E-03,9.89E-02,5.17E-02,3.39E-02,1.13E-02,2.27E-03,5.49E-03,1.74E-03
MEDICARE,2003,2008,59,77,USA,1.14E-01,4.66E-02,3.02E-02,8.87E-03,7.66E-03,5.58E-03,5.65E-03,9.75E-02,4.25E-02,2.54E-02,9.81E-03,4.65E-03,4.51E-03,2.84E-03
Hong Kong,2000,2011,66,78,Hong Kong,1.58E-01,7.60E-02,2.69E-02,3.94E-02,3.48E-02,5.60E-03,5.56E-03,1.26E-01,6.59E-02,2.38E-02,3.30E-02,2.67E-02,4.82E-03,2.24E-03
